time_ms,altitude_m,velocity_ms,accel_bias_ms2,raw_accel_ms2,vertical_accel_ms2,raw_baro_m,motor_pos,motor_vel,motor_cmd_pos,roll_rad,pitch_rad,yaw_rad,Cd,desired_Cd,motor_current,battery_voltage,state,axis_error
28234,-734.3388671875,-62.839359283447266,0.12759985029697418,-0.9230690002441406,-1.0506688356399536,128.45262145996094,-0.000037729740142822266,-0.029000869020819664,0,-2.560777187347412,0.2918592095375061,0.7807922959327698,8.446840286254883,0,0.004389423411339521,7.426570892333984,4,0
28282,-734.4549560546875,-62.84083938598633,0.12759985029697418,-0.6743125915527344,-0.8019124269485474,128.20382690429688,-0.000037729740142822266,-0.029000869020819664,0,-2.542501449584961,0.2993577718734741,0.7787193655967712,8.446840286254883,0,0.004389423411339521,7.426570892333984,4,0
28340,-740.9241943359375,-62.69866943359375,0.12759985029697418,2.7789602279663086,2.651360273361206,127.8684310913086,-0.00009256601333618164,0.0005108824116177857,0,-2.5117311477661133,0.9151008725166321,0.637092113494873,8.446840286254883,0,0.009697718545794487,7.404168128967285,4,0
28351,-741.5663452148438,-62.7184944152832,0.12759985029697418,-1.7863636016845703,-1.9139634370803833,127.76140594482422,-0.00009256601333618164,0.0005108824116177857,0,-2.543227195739746,0.9481255412101746,0.7109215259552002,8.446840286254883,0,0.009697718545794487,7.404168128967285,4,0
28401,-744.8277587890625,-62.80935287475586,0.12759985029697418,-1.6123199462890625,-1.7399197816848755,127.62138366699219,-0.00009256601333618164,0.0005108824116177857,0,-2.653942346572876,1.04265296459198,1.129415512084961,8.446840286254883,0,0.009697718545794487,7.404168128967285,4,0
28456,-748.21337890625,-62.86858367919922,0.12759985029697418,-0.9794406890869141,-1.107040524482727,127.32970428466797,-0.000051081180572509766,0.0012335985666140914,0,-2.403748035430908,0.9604350924491882,2.0191898345947266,8.446840286254883,0,-0.011628542095422745,7.440013408660889,4,0
28465,-748.8580322265625,-62.89705276489258,0.12759985029697418,-3.0807275772094727,-3.208327531814575,127.32970428466797,-0.000051081180572509766,0.0012335985666140914,0,-2.288555145263672,0.8429545760154724,2.226494312286377,8.446840286254883,0,-0.011628542095422745,7.440013408660889,4,0
28514,-751.9505004882812,-63.12240982055664,0.12759985029697418,-4.590290069580078,-4.717889785766602,126.76899719238281,-0.000051081180572509766,0.0012335985666140914,0,-2.1743829250335693,0.2034095674753189,2.8624088764190674,8.446840286254883,0,-0.011628542095422745,7.440013408660889,4,0
28524,-752.58544921875,-63.17095184326172,0.12759985029697418,-4.421184062957764,-4.548783779144287,126.76899719238281,-0.000051081180572509766,0.0012335985666140914,0,-2.245532989501953,0.10629566758871078,2.9643442630767822,8.446840286254883,0,-0.011628542095422745,7.381765365600586,4,0
28571,-755.4942016601562,-63.324920654296875,0.12759985029697418,-3.2202987670898438,-3.3478987216949463,126.31745910644531,0.000057637691497802734,0.029821477830410004,0,-2.664644718170166,-0.1277833878993988,-2.7944374084472656,8.446840286254883,0,0.029301229864358902,7.381765365600586,4,0
28580,-756.1417846679688,-63.34544372558594,0.12759985029697418,-1.5018129348754883,-1.6294127702713013,126.31745910644531,0.000057637691497802734,0.029821477830410004,0,-2.760033369064331,-0.017204608768224716,-2.661026954650879,8.446840286254883,0,0.029301229864358902,7.381765365600586,4,0
28638,-756.5773315429688,-63.353485107421875,0.12759985029697418,-0.6205110549926758,-0.7481108903884888,126.0401382446289,0.000057637691497802734,0.029821477830410004,0,-2.8184266090393066,0.07981506735086441,-2.5456175804138184,8.446840286254883,0,0.029301229864358902,7.381765365600586,4,0
28691,-759.9323120117188,-63.31468200683594,0.12759985029697418,0.6788244247436523,0.5512245893478394,125.63929748535156,-0.00008344650268554688,0.000011702341907948721,0,-2.771505355834961,-0.06869639456272125,-1.6549607515335083,8.446840286254883,0,0.027621904388070107,7.453454971313477,4,0
28700,-760.5709838867188,-63.30149841308594,0.12759985029697418,1.390707015991211,1.263107180595398,125.63929748535156,-0.00008344650268554688,0.000011702341907948721,0,-2.7384400367736816,-0.061524491757154465,-1.5122175216674805,8.446840286254883,0,0.027621904388070107,7.453454971313477,4,0
28757,-764.1436157226562,-63.28523254394531,0.12759985029697418,0.23190593719482422,0.10430608689785004,125.39115905761719,-0.00008344650268554688,0.000011702341907948721,0,-2.7128093242645264,-0.0016706265741959214,-1.0961781740188599,8.446840286254883,0,0.027621904388070107,7.453454971313477,4,0
28766,-764.745361328125,-63.28325271606445,0.12759985029697418,0.40470123291015625,0.27710139751434326,125.39115905761719,-0.0000903010368347168,-0.02433680184185505,0,-2.7250611782073975,0.013071289286017418,-1.0388413667678833,8.446840286254883,0,0.013940603472292423,7.3638434410095215,4,0
28815,-767.7288818359375,-63.266143798828125,0.12759985029697418,0.49042510986328125,0.36282527446746826,125.21720886230469,-0.0000903010368347168,-0.02433680184185505,0,-2.7340304851531982,0.09863938391208649,-0.7688884139060974,8.446840286254883,0,0.013940603472292423,7.3638434410095215,4,0
28825,-768.3711547851562,-63.24665451049805,0.12759985029697418,2.116628646850586,1.989028811454773,125.21720886230469,-0.0000903010368347168,-0.02433680184185505,0,-2.7707643508911133,0.09872576594352722,-0.6974588632583618,8.446840286254883,0,0.013940603472292423,7.3638434410095215,4,0
28833,-768.9686889648438,-63.2265510559082,0.12759985029697418,2.304226875305176,2.1766269207000732,125.21720886230469,-0.0000903010368347168,-0.02433680184185505,0,-2.8038125038146973,0.09567632526159286,-0.6210728883743286,8.446840286254883,0,0.013940603472292423,7.3638434410095215,4,0
28885,-768.9686889648438,-63.2265510559082,0.12759985029697418,2.322580337524414,2.1949803829193115,124.9109115600586,-0.0000903010368347168,-0.02433680184185505,0,-2.810631036758423,0.09452212601900101,-0.6032820343971252,8.446840286254883,0,0.013940603472292423,7.3638434410095215,4,0
28938,-772.3192749023438,-63.27350997924805,0.12759985029697418,-0.9773073196411133,-1.1049071550369263,124.76817321777344,-0.0000407099723815918,0.010405256412923336,0,-3.0087435245513916,-0.0005866310093551874,0.2614070475101471,8.446840286254883,0,-0.004274341277778149,7.386246204376221,4,0
28948,-772.9558715820312,-63.30387878417969,0.12759985029697418,-2.6655478477478027,-2.7931478023529053,124.76817321777344,-0.0000407099723815918,0.010405256412923336,0,-2.9456443786621094,0.10284560173749924,0.4067630171775818,8.446840286254883,0,-0.004274341277778149,7.386246204376221,4,0
28960,-773.6597900390625,-63.33180618286133,0.12759985029697418,-2.226776123046875,-2.3543760776519775,124.76817321777344,-0.0000407099723815918,0.010405256412923336,0,-2.8598408699035645,0.16738632321357727,0.5734838247299194,8.446840286254883,0,-0.004274341277778149,7.386246204376221,4,0
29005,-776.546875,-63.403038024902344,0.12759985029697418,-1.4086122512817383,-1.5362120866775513,124.74470520019531,-0.0000407099723815918,0.010405256412923336,0,-2.5815176963806152,0.2340146154165268,1.2838757038116455,8.446840286254883,0,-0.004274341277778149,7.386246204376221,4,0
29060,-780.0626831054688,-63.678680419921875,0.12759985029697418,-4.949805736541748,-5.0774054527282715,124.74726867675781,-0.00001627206802368164,0.020120801404118538,0,-2.608396530151367,0.33822622895240784,1.8686952590942383,8.446840286254883,0,0.014134534634649754,7.455695152282715,4,0
29070,-780.71044921875,-63.70676040649414,0.12759985029697418,-1.6315088272094727,-1.7591086626052856,124.62047576904297,-0.00001627206802368164,0.020120801404118538,0,-2.520249605178833,0.4520547688007355,1.9520421028137207,8.446840286254883,0,0.014134534634649754,7.455695152282715,4,0
29080,-781.3536987304688,-63.71083450317383,0.12759985029697418,0.5956878662109375,0.4680880308151245,124.62047576904297,-0.00001627206802368164,0.020120801404118538,0,-2.441092014312744,0.5457557439804077,2.0540387630462646,8.446840286254883,0,0.014134534634649754,7.455695152282715,4,0
29136,-784.8530883789062,-63.62501907348633,0.12759985029697418,1.7662353515625,1.638635516166687,124.38358306884766,-0.00001627206802368164,0.020120801404118538,0,-2.165111780166626,0.740889310836792,2.718895435333252,8.446840286254883,0,0.014134534634649754,7.455695152282715,4,0
